subject,number,avg_gpa,sum_students,title
ABE,425,3.766555555555555,90,Engrg Measurement Systems
NPRE,100,3.696444444444444,90,Orientation to NPRE
CS,420,3.2414444444444452,90,Parallel Progrmg: Sci & Engrg
ABE,469,3.711777777777777,90,Industry-Linked Design Project
ABE,141,3.567222222222222,90,ABE Principles: Biological
ECE,490,3.592359550561797,89,Introduction to Optimization
CS,519,3.682045454545455,88,Scientific Visualization
TAM,252,3.731477272727273,88,Solid Mechanics Design
IE,431,3.412954545454546,88,Design for Six Sigma
AE,410,3.56,84,Computational Aerodynamics
ECE,304,3.036071428571428,84,Photonic Devices
TAM,445,2.650833333333333,84,Continuum Mechanics
CS,199,3.843493975903614,83,Undergraduate Open Seminar
ECE,380,3.229156626506024,83,Biomedical Imaging
CEE,406,3.162682926829267,82,Pavement Design I
ABE,100,3.6585365853658542,82,Intro Agric & Biological Engrg
NPRE,455,2.494197530864197,81,Neutron Diffusion & Transport
CEE,415,2.839382716049383,81,Geometric Design of Roads
CEE,457,3.341624999999999,80,Groundwater
MSE,403,3.0955,80,Synthesis of Materials
NPRE,481,3.616999999999999,80,Writing on Technol & Security
CS,467,3.692125,80,Social Visualization
CEE,449,3.321012658227848,79,Environmental Engineering Lab
ME,430,3.487435897435897,78,Failure of Engrg Materials
NPRE,470,3.495128205128205,78,Fuel Cells & Hydrogen Sources
MSE,456,3.057368421052631,76,Mechanics of Composites
IE,360,3.333815789473684,76,Facilities Planning and Design
NPRE,447,3.360394736842105,76,Radiation Interact w/Matter II
CEE,483,2.903552631578947,76,Soil Mechanics and Behavior
CS,445,3.400133333333333,75,Computational Photography
CEE,416,3.107066666666667,75,Traffic Capacity Analysis
CEE,442,3.6224,75,"Env Eng Principles, Physical"
NPRE,448,2.621621621621621,74,Nuclear Syst Engrg & Design
ECE,551,3.8772602739726043,73,Digital Signal Processing II
ME,461,3.931506849315067,73,Computer Cntrl of Mech Systems
CEE,443,3.53958904109589,73,"Env Eng Principles, Chemical"
CS,473,2.463333333333333,72,Fundamental Algorithms
NPRE,441,3.176666666666666,72,Radiation Protection
IE,411,3.398333333333333,72,Optimization of Large Systems
CEE,434,3.560277777777777,72,Environmental Systems I
NPRE,421,2.852222222222222,72,Plasma and Fusion Science
GE,410,3.188028169014085,71,Component Design
CS,447,3.502676056338028,71,Natural Language Processing
BIOE,199,3.843142857142857,70,Undergraduate Open Seminar
ME,431,3.604714285714286,70,Mechanical Component Failure
ECE,395,3.763768115942028,69,Advanced Digital Projects Lab
MSE,443,3.357681159420289,69,Design of Engineering Alloys
CS,428,3.671739130434782,69,Software Engineering II
BIOE,298,3.397205882352941,68,Analytical Tools for BIOE
GE,494,3.8976470588235292,68,Senior Engineering Project I
CEE,592,3.8970588235294112,68,Sustainable Urban Systems
ENG,571,3.873382352941176,68,Theory Energy & Sustain Engrg
CS,361,3.373333333333333,66,Prob & Stat for Computer Sci
MSE,101,3.667575757575757,66,Materials in Today's World
CEE,572,3.938615384615384,65,Earthquake Engineering
CEE,452,3.369538461538461,65,Hydraulic Analysis and Design
MSE,487,3.549230769230769,65,Materials for Nanotechnology
IE,412,2.954153846153846,65,OR Models for Mfg Systems
CS,484,3.099375,64,Parallel Programming
ENG,398,3.71921875,64,Honduras Water Project
MSE,453,2.984375,64,Plastics Engineering
ECE,439,3.505,64,Wireless Networks
MSE,489,3.846825396825397,63,Matl Select for Sustainability
ECE,520,3.672222222222222,63,EM Waves & Radiating Systems
CEE,526,3.714761904761904,63,Construction Optimization
TAM,451,2.905079365079365,63,Intermediate Solid Mechanics
ME,483,3.860806451612903,62,Mechanobiology
ME,420,3.759672131147541,61,Intermediate Heat Transfer
ECE,485,3.5683606557377052,61,MEMS Devices & Systems
IE,361,3.448196721311476,61,Production Planning & Control
MSE,458,3.250819672131147,61,Polymer Physical Chemistry
ECE,307,3.322459016393443,61,Techniques for Engrg Decisions
GE,423,3.750333333333333,60,Mechatronics
NPRE,457,3.847966101694915,59,Safety Anlys Nucl Reactor Syst
ME,451,3.587457627118643,59,Computer-Aided Mfg Systems
CEE,480,3.005932203389831,59,Foundation Engineering
ABE,466,3.514745762711864,59,Engineering Off-Road Vehicles
ECE,418,3.520169491525424,59,Image & Video Processing
CEE,484,3.24271186440678,59,Applied Soil Mechanics
ME,482,3.604137931034483,58,Musculoskel Tissue Mechanics
ABE,488,3.718448275862068,58,Bioprocessing Biomass for Fuel
CEE,408,3.227543859649123,57,Railroad Transportation Engrg
CS,426,3.393035714285714,56,Compiler Construction
ECE,455,3.2061818181818182,55,Optical Electronics
CS,555,3.764181818181818,55,Numerical Methods for PDEs
ENG,565,3.933636363636364,55,Technol Innovation & Strategy
CEE,450,3.575818181818182,55,Surface Hydrology
CEE,409,3.824181818181818,55,Railroad Track Engineering
ECE,456,3.142222222222222,54,Global Nav Satellite Systems
ECE,417,3.666851851851851,54,Multimedia Signal Processing
ME,452,3.654814814814815,54,Num Control of Mfg Processes
CEE,453,2.987592592592593,54,Urban Hydrology and Hydraulics
NPRE,451,2.962452830188679,53,NPRE Laboratory
ECE,454,3.491509433962263,53,Antennas
TAM,542,3.754905660377358,53,Mathematical Methods II
CEE,444,3.289622641509434,53,"Env Eng Principles, Biological"
ECE,544,3.648076923076923,52,Pattern Recognition
ME,472,3.654423076923076,52,Introduction to Tribology
AE,419,3.185961538461538,52,Aircraft Flight Mechanics
MSE,440,3.26156862745098,51,Mechanical Behavior of Metals
CS,527,3.66078431372549,51,Topics in Software Engineering
CS,533,3.535882352941176,51,Parallel Computer Architecture
TAM,551,3.51,51,Solid Mechanics I
ECE,416,2.8936,50,Biosensors
CS,494,3.6068,50,Senior Project II
ECE,517,3.7072000000000003,50,Nonlinear & Adaptive Control
IE,598,3.768979591836735,49,Neural Ntwks and Deep Learning
ECE,317,3.592244897959184,49,ECE Technology & Management
ECE,457,3.367551020408163,49,Microwave Devices & Circuits
NPRE,432,3.771666666666667,48,Nuclear Engrg Materials Lab
BIOE,436,3.957446808510638,47,Senior Design II
MSE,441,3.269574468085105,47,Metals Processing
CEE,411,3.210652173913043,46,RR Project Design & Constr
ME,412,3.667173913043478,46,Numerical Thermo-Fluid Mechs
MSE,455,3.051086956521739,46,Polymer Physics
CEE,468,3.645434782608695,46,Prestressed Concrete
GE,402,3.543695652173912,46,Comp-Aided Product Realization
BIOE,420,3.785111111111111,45,Intro Bio Control Systems
CEE,493,3.859555555555555,45,Sustainable Design Eng Tech
MSE,442,3.5557777777777773,45,Metals Laboratory
ECE,459,3.212272727272726,44,Communications Systems
MSE,452,3.6428571428571432,42,Polymer Laboratory
CEE,418,3.358048780487805,41,Public Transportation Systems
CS,424,3.537073170731707,41,Real-Time Systems
CS,511,3.634,40,Advanced Data Management
GE,422,3.250499999999999,40,Robot Dynamics and Control
CEE,412,3.8723076923076922,39,High-Speed Rail Engineering
CS,546,3.641025641025641,39,Machine Learning in NLP
MSE,473,3.427179487179487,39,Biomolecular Materials Science
CS,419,3.5046153846153842,39,Production Computer Graphics
MSE,481,3.351052631578947,38,Electron Microscopy
AE,412,3.535526315789473,38,Viscous Flow & Heat Transfer
ECE,511,3.6755263157894733,38,Computer Architecture
NPRE,458,3.441081081081081,37,Design in NPRE
ME,481,3.622432432432432,37,Whole-Body Musculoskel Biomech
ECE,546,3.882972972972972,37,Advanced Signal Integrity
AE,498,3.576756756756756,37,Fundamentals of Systems Engr
ENG,250,3.7837837837837833,37,From Idea to Enterprise
IE,529,3.852500000000001,36,Stats of Big Data & Clustering
MSE,480,3.417222222222222,36,Surfaces and Colloids
ENG,560,3.566111111111111,36,Managing Advanced Technol I
ECE,527,3.733714285714286,35,System-On-Chip Design
NPRE,442,3.462058823529411,34,Radioactive Waste Management
CS,126,3.754705882352941,34,Software Design Studio
ECE,298,3.793823529411765,34,Concepts in Engineering Math
ME,403,3.510882352941176,34,Internal Combustion Engines
CEE,398,3.717575757575757,33,Project Based Learning in CEE
CEE,524,3.6560606060606062,33,Construction Law
CEE,512,3.583125,32,Logistics Systems Analysis
CEE,508,3.303124999999999,32,Pavement Evaluation and Rehab
BIOE,430,3.7296875,32,Intro Synthetic Biology
ME,498,3.5380645161290323,31,Fund of Modern Photovoltaics
CEE,507,3.67774193548387,31,Repair of Civil Infrastructure
AE,434,3.343548387096774,31,Rocket Propulsion
ECE,441,3.200666666666666,30,Physcs & Modeling Semicond Dev
CEE,537,3.4258620689655173,29,Water Quality Control Proc I
ECE,425,2.896896551724137,29,Intro to VLSI System Design
MSE,462,3.380344827586207,29,Electronic Materials Lab
CEE,560,3.551724137931034,29,Steel Structures III
ECE,447,3.713448275862069,29,Active Microwave Ckt Design
ECE,488,3.608965517241379,29,Compound Semicond & Devices
CEE,438,3.57551724137931,29,Science & Environmental Policy
NPRE,480,3.461379310344827,29,Energy and Security
ECE,550,3.793103448275862,29,Advanced Robotic Planning
CEE,446,3.25,28,Air Quality Engineering
ME,402,3.536428571428572,28,Design of Thermal Systems
TAM,435,3.345714285714286,28,Intermediate Fluid Mechanics
GE,413,3.332962962962963,27,Engrg Design Optimization
TAM,456,3.061481481481481,27,Experimental Stress Analysis
ECE,535,3.543703703703704,27,Theory of Semicond & Devices
AE,403,3.531851851851851,27,Spacecraft Attitude Control
ECE,481,3.846153846153846,26,Nanotechnology
ECE,528,3.783846153846153,26,Analysis of Nonlinear Systems
ECE,468,3.436153846153846,26,Optical Remote Sensing
CS,548,3.8334615384615383,26,Models of Cognitive Processes
ECE,451,3.513076923076923,26,Adv Microwave Measurements
CS,563,3.884615384615384,26,Advanced Computer Security
CS,554,3.5,26,Parallel Numerical Algorithms
GE,420,3.346923076923077,26,Digital Control Systems
IE,340,3.244230769230769,26,Human Factors
ENG,450,3.6926923076923073,26,"Startup:Inc,Fund,Contracts, IP"
BIOE,504,3.493999999999999,25,Analytical Methods in Bioeng
MSE,580,3.5608,25,Diffraction Physics of Matls
CS,565,3.7476000000000003,25,Human-Computer Interaction
AE,451,3.6672000000000002,25,Aeroelasticity
BIOE,505,3.5072,25,Computational Bioengineering
ME,521,3.7996,25,Convective Heat Transfer
ECE,518,3.8808,25,Adv Semiconductor Nanotech
MSE,420,2.9468,25,Ceramic Materials & Properties
ECE,554,3.9072,25,Dynamic System Reliability
ECE,541,3.480399999999999,25,Computer Systems Analysis
CEE,440,3.500833333333333,24,Fate Cleanup Environ Pollutant
ECE,526,3.513333333333333,24,Distributed Algorithms
ME,404,3.4175,24,Intermediate Thermodynamics
NPRE,501,3.3625,24,Fundamentals of Nuclear Engrg
ENG,461,3.902916666666666,24,Technology Entrepreneurship
TAM,532,3.579565217391304,23,Viscous Flow
ECE,598,3.8260869565217392,23,Statistical Learning Theory
IE,400,3.290434782608696,23,Design & Anlys of Experiments
ME,510,3.8404347826086953,23,Advanced Gas Dynamics
CEE,506,3.449565217391304,23,Pavement Design II
TAM,461,3.724782608695651,23,Cellular Biomechanics
ECE,361,3.33391304347826,23,Digital Communications
CEE,517,3.392173913043478,23,Traffic Signal Systems
CEE,467,2.984782608695652,23,Masonry Structures
ENG,200,3.7686956521739132,23,Introduction to Innovation
NPRE,412,3.058695652173913,23,Nuclear Power Econ & Fuel Mgmt
NPRE,598,3.913043478260869,23,Fund Plasma Matls Interactions
ENG,566,3.909090909090909,22,Finance for Engineering Mgmt
CEE,575,3.621363636363636,22,Fracture and Fatigue
IE,511,3.834090909090909,22,Integer Programming
CEE,580,3.332727272727272,22,Excavation and Support Systems
ECE,564,3.8186363636363643,22,Modern Light Microscopy
AE,454,3.590909090909091,22,Systems Dynamics & Control
NPRE,498,3.682857142857142,21,Probabilistic Risk Assessment
MSE,565,3.808571428571428,21,Thin Film Materials
MSE,404,3.476666666666667,21,Computational MSE- Macroscale
ABE,199,3.968095238095238,21,Water in the Global Environ
CS,538,3.8409523809523813,21,Advanced Computer Networks
ECE,199,3.778571428571428,21,Undergraduate Open Seminar
CEE,401,3.603333333333333,21,Concrete Materials
CEE,590,3.491904761904762,21,Geotechnical Field Measurement
CEE,586,3.475714285714285,21,Rock Mechanics and Behavior
TAM,531,3.7938095238095233,21,Inviscid Flow
